CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/19/2019,11:05,,,40.79525,-73.97321,POINT (-73.97321 40.79525),WEST 96 STREET                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4191423,Sedan,Sedan,,,
09/10/2019,11:30,,,40.666233,-73.761,POINT (-73.761 40.666233),BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4203117,Tractor Truck Diesel,,,,
08/30/2019,21:55,,,,,,LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4197706,Sedan,Sedan,,,
09/13/2019,6:40,BRONX,10452,40.842056,-73.92749,POINT (-73.92749 40.842056),HIGH BRIDGE                     ,SEDGWICK AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,4217122,Tractor Truck Diesel,Sedan,,,
08/20/2019,18:50,,,40.67006,-73.890564,POINT (-73.890564 40.67006),MILLER AVENUE                   ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4192425,Station Wagon/Sport Utility Vehicle,,,,
09/12/2019,11:30,QUEENS,11434,40.65616,-73.76736,POINT (-73.76736 40.65616),ROCKAWAY BOULEVARD              ,BREWER BOULEVARD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4204423,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/14/2019,9:05,,,40.73632,-73.85631,POINT (-73.85631 40.73632),LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4205437,Sedan,Taxi,Sedan,,
08/26/2019,4:55,,,40.745148,-73.93348,POINT (-73.93348 40.745148),QUEENS BOULEVARD                ,VANDAM STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4194871,Box Truck,Dump,,,
08/16/2019,13:23,,,,,,BRONX WHITESTONE BRIDGE         ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4190637,Station Wagon/Sport Utility Vehicle,Convertible,,,
09/04/2019,18:00,,,40.711227,-73.72826,POINT (-73.72826 40.711227),CROSS ISLAND PARKWAY            ,HEMPSTEAD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4199686,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/01/2019,17:15,BROOKLYN,11231,40.672615,-74.0006,POINT (-74.0006 40.672615),COURT STREET                    ,LORRAINE STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4198192,Station Wagon/Sport Utility Vehicle,Sedan,,,
09/04/2019,15:00,,,40.785294,-73.969345,POINT (-73.969345 40.785294),WEST 86 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4199918,Sedan,Station Wagon/Sport Utility Vehicle,,,
08/18/2019,18:25,,,40.696117,-73.970436,POINT (-73.970436 40.696117),PARK AVENUE                     ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4194406,Sedan,Box Truck,,,
08/27/2019,10:30,,,40.65477,-74.00708,POINT (-74.00708 40.65477),GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,4195671,Sedan,Sedan,,,
08/24/2019,5:10,BRONX,10472,40.83114,-73.879776,POINT (-73.879776 40.83114),EAST 172 STREET                 ,ELDER AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4194044,Sedan,Station Wagon/Sport Utility Vehicle,,,
08/22/2019,21:40,,,40.745148,-73.93348,POINT (-73.93348 40.745148),QUEENS BOULEVARD                ,VANDAM STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,4193497,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/10/2019,12:32,MANHATTAN,10013,40.72135,-74.00465,POINT (-74.00465 40.72135),CANAL STREET                    ,WEST BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4203656,Tractor Truck Diesel,Sedan,,,
08/31/2019,5:30,,,40.634613,-74.13568,POINT (-74.13568 40.634613),PORT RICHMOND AVENUE            ,ALBION PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4197373,Taxi,Sedan,,,
09/09/2019,18:00,BROOKLYN,11220,40.61143,-74.03485,POINT (-74.03485 40.61143),SHORE ROAD                      ,4 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4202801,Sedan,Station Wagon/Sport Utility Vehicle,,,
08/20/2019,11:00,,,,,,FDR DRIVE                       ,EAST 23 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4191739,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
08/30/2019,19:50,,,40.79465,-73.971794,POINT (-73.971794 40.79465),BROADWAY                        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4197942,Sedan,Sedan,,,
09/05/2019,9:10,BROOKLYN,11231,40.68079,-73.99174,POINT (-73.99174 40.68079),HOYT STREET                     ,UNION STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4200939,Sedan,SCHOO,,,
09/12/2019,2:30,QUEENS,11372,40.74675,-73.89233,POINT (-73.89233 40.74675),ROOSEVELT AVENUE                ,73 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4204160,Taxi,Taxi,,,
09/11/2019,14:30,BROOKLYN,11205,40.699192,-73.95519,POINT (-73.95519 40.699192),WALWORTH STREET                 ,FLUSHING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4204264,Station Wagon/Sport Utility Vehicle,,,,
08/16/2019,10:00,QUEENS,11369,40.76199,-73.86934,POINT (-73.86934 40.76199),100 STREET                      ,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4191340,Sedan,Sedan,,,
09/04/2019,10:40,BROOKLYN,11217,40.686928,-73.98484,POINT (-73.98484 40.686928),ATLANTIC AVENUE                 ,BOND STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4200282,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/15/2016,19:30,QUEENS,11691,,,,PINSON STREET                   ,DIX AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3433990,4 dr sedan,,,,
02/04/2020,11:30,,,,,,NEW ENGLAND THRUWAY RAMP        ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4284077,Station Wagon/Sport Utility Vehicle,,,,
09/04/2019,15:45,QUEENS,11373,40.734188,-73.874,POINT (-73.874 40.734188),57 AVENUE                       ,HOFFMAN DRIVE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4201041,Sedan,Sedan,,,
09/12/2019,15:40,QUEENS,11434,40.657482,-73.76977,POINT (-73.76977 40.657482),ROCKAWAY BOULEVARD              ,149 ROAD,,0,0,0,0,0,0,0,0,Other Vehicular,Reaction to Uninvolved Vehicle,,,,4204668,Sedan,Sedan,,,
08/27/2019,12:30,,,40.88437,-73.90105,POINT (-73.90105 40.88437),BROADWAY                        ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4195548,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/09/2019,13:00,MANHATTAN,10007,40.713135,-74.00407,POINT (-74.00407 40.713135),CENTRE STREET                   ,CHAMBERS STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4203738,Van,Station Wagon/Sport Utility Vehicle,,,
09/01/2019,15:00,BROOKLYN,11214,40.604748,-73.99686,POINT (-73.99686 40.604748),,,2029      85 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4198596,Sedan,,,,
